土豚	0.4270	0.4900
吓了一跳	0.3850	0.4070
算盘	0.5100	0.2760
鲍鱼	0.5000	0.4800
放弃	0.3185	0.5428
弃	0.0460	0.4810
愧	0.1770	0.6440
杀	0.1080	0.8590
减排	0.3880	0.3380
僧院	0.5800	0.3670
方丈	0.4270	0.3210
简略	0.5310	0.3750
缩写	0.4690	0.3060
腹部	0.4690	0.4620
腹部的	0.4900	0.4560
拐	0.1730	0.7200
绑架	0.0580	0.9290
异常	0.3647	0.5983
像差	0.1250	0.8160
暂时保留	0.3300	0.5100
痛恨	0.1250	0.6020
深恶痛绝	0.1670	0.6840
可恶	0.1638	0.7520
遵守	0.6560	0.3935
守法	0.7960	0.3270
能力	0.8253	0.6187
卑劣	0.3540	0.5900
切除	0.3245	0.5005
炽盛	0.3230	0.7460
能够	0.7240	0.4300
不正常	0.1370	0.6040
船上	0.6980	0.2840
住所	0.7055	0.3100
废除	0.3097	0.5083
鄙弃	0.1980	0.7880
厌恶	0.1228	0.6928
土著	0.4740	0.4680
退出	0.2275	0.5643
流产	0.0620	0.7755
未遂	0.0900	0.7760
盛产	0.7040	0.4900
上述	0.5410	0.2980
胡言乱语	0.4223	0.6387
磨损	0.3050	0.5142
磨料	0.3920	0.6100
并肩	0.5465	0.3565
国外	0.6250	0.6385
突兀	0.2710	0.8190
突然	0.4563	0.6593
脓肿	0.1540	0.4510
缺席	0.1650	0.2280
缺席者	0.2350	0.3300
旷工	0.4040	0.2730
苦艾酒	0.4920	0.4950
绝对	0.5650	0.3800
赦免	0.6335	0.4565
开脱	0.6380	0.4745
吸收	0.5234	0.4664
吸水	0.5520	0.3940
避免	0.4828	0.4258
弃权	0.2710	0.2640
节制	0.3550	0.3940
抽象	0.4380	0.2920
抽象化	0.4690	0.4390
荒诞	0.1880	0.6560
荒谬	0.1470	0.6497
丰富	0.7841	0.6529
滥用	0.0583	0.7690
滥用的	0.1250	0.9030
邻接	0.5070	0.3293
深	0.3700	0.5915
深渊	0.3530	0.7250
学术的	0.7810	0.4200
学院	0.6730	0.4507
加入	0.6797	0.4573
促进剂	0.6430	0.8440
